index,tag,folder,category,result,reason
46,full_body,composition,shot,确认,核心含义是全身可见的取景范围
47,medium_breasts,body,breast_chest,确认,核心含义是乳房大小
48,blue_hair,hair,hair_color,确认,核心含义是蓝色头发
49,green_eyes,face,eye_color,确认,核心含义是绿色眼睛
50,purple_eyes,face,eye_color,确认,核心含义是紫色眼睛
51,upper_body,composition,shot,确认,核心含义是从肚脐附近向上的取景范围
52,tail,animal_traits,tails,确认,核心对象是从下背部突出的尾巴
53,nipples,body,breast_chest,确认,核心对象是胸部乳腺上的乳头
54,touhou,copyright,letter_t,确认,Wiki 明确描述东方 Project 游戏作品系列
55,brown_eyes,face,eye_color,确认,核心含义是棕色眼睛
56,collarbone,body,torso_back,确认,核心对象是躯干上方的锁骨
57,multicolored_hair,hair,hair_color,确认,核心含义是头发具有多种颜色
58,male_focus,composition,subject_focus,确认,核心含义是画面对男性主体的强调
59,school_uniform,uniform_costume,school_uniform,确认,Wiki 描述不限定具体作品的通用学生制服
60,underwear,underwear_swim,underwear_general,修正,Wiki 是穿在衣服下面的内衣总称而非内裤
61,closed_eyes,face,eye_shape,确认,核心含义是双眼闭合的眼部形态
62,white_hair,hair,hair_color,确认,核心含义是白色头发
63,pink_hair,hair,hair_color,确认,核心含义是粉色头发
64,grey_hair,hair,hair_color,确认,核心含义是灰色或银色头发
65,yellow_eyes,face,eye_color,确认,核心含义是黄色眼睛
66,ponytail,hair,hair_style,确认,核心含义是脑后扎起的马尾发型
67,ahoge,hair,hair_style,确认,核心含义是头顶翘起的一撮头发造型
68,purple_hair,hair,hair_color,确认,核心含义是紫色头发
69,swimsuit,underwear_swim,other_swim,确认,Wiki 是未限定款式的通用泳装
70,sidelocks,hair,bangs,确认,核心含义是耳前垂下的鬓发
71,braid,hair,hair_style,确认,核心含义是三股或更多头发交织成的辫子
72,short_sleeves,clothing_detail,sleeve_detail,确认,核心含义是不超过肘部的袖长
73,flower,nature,flower_general,确认,核心对象是植物的繁殖结构这一通用花卉
74,heart,symbols,general_symbol,确认,核心对象是象征爱情的心形符号
75,monochrome,light_effect,palette,确认,核心含义是画面主要使用单一颜色的配色
76,panties,underwear_swim,panties_underwear,确认,核心对象是无裤腿的女性内裤
77,earrings,jewelry_accessories,earrings,确认,核心对象是佩戴在耳部的耳饰
78,shoes,legwear_footwear,casual_shoes,确认,核心对象是未限定款式的普通鞋履
79,cowboy_shot,composition,shot,确认,核心含义是从大腿向上的取景范围
80,weapon,weapons,other_weapon,确认,Wiki 是未限定具体类型的通用武器
81,thighs,body,legs_knees,确认,核心对象是臀部到膝盖之间的大腿区域
82,hair_ribbon,head_accessories,hairband_ribbon,确认,核心对象是戴在头发上的丝带
83,ass,body,waist_hips,确认,核心对象是腰臀胯区域的臀部
84,outdoors,outdoor_scene,other_scene,确认,Wiki 泛指各种室外场景
85,hetero,relationships,romance_orientation,确认,核心含义是异性成员之间的浪漫或性配对
86,:d,expression,positive,确认,核心含义是张大嘴的微笑表情
87,sweat,body_detail,body_function,确认,核心含义是身体因活动形成汗液的生理反应
88,teeth,face,oral_detail,确认,核心对象是口腔内用于咬合的牙齿
89,pantyhose,legwear_footwear,stockings,确认,核心对象是覆盖腰部到脚趾的连裤袜
90,hair_bow,head_accessories,hairband_ribbon,确认,核心对象是系在头发上的蝴蝶结
91,frills,clothing_detail,trim_detail,确认,核心对象是服装上的荷叶边装饰
92,red_hair,hair,hair_color,确认,核心含义是红色头发
93,open_clothes,clothing_appearance,open_wear,确认,核心含义是衣物未扣上或敞开的穿着状态
94,parted_lips,face,mouth,确认,核心含义是嘴唇微张的嘴部形态
95,comic,text_meta,comic,确认,Wiki 描述连续画格构成的漫画形式
96,collared_shirt,clothes_main,shirt_top,确认,核心对象是带折叠领子的衬衫
97,pleated_skirt,clothes_main,skirt,确认,核心对象是带垂直褶皱的半身裙
98,boots,legwear_footwear,short_boots,确认,核心对象是覆盖脚踝并可延伸至小腿的靴子
99,small_breasts,body,breast_chest,确认,核心含义是乳房大小
100,bikini,underwear_swim,bikini,确认,Wiki 明确描述两件式女性泳衣
101,nude,adult_body,adult_nudity,确认,核心含义是胸部与胯部未穿衣物的身体裸露
102,multiple_boys,people,count_gender,确认,核心含义是多个男性角色
103,greyscale,light_effect,palette,确认,核心含义是只由黑白灰组成的画面配色
104,hairband,head_accessories,hairband_ribbon,确认,核心对象是固定头发的发箍
105,horns,animal_traits,horns,确认,核心对象是头部突出的角状结构
106,pants,clothes_main,bottoms,确认,核心对象是分别覆盖双腿的长裤
107,black_gloves,accessories,handwear,确认,核心对象是黑色手套
108,censored,meta_info,censorship,确认,核心含义是图像内容被遮挡或打码
109,shorts,clothes_main,bottoms,确认,核心对象是不完全覆盖腿部的短裤
110,necktie,accessories,neckwear,确认,核心对象是系在颈部的长条领带
111,alternate_costume,themes,persona_variant,确认,核心含义是角色穿着非典型的替换服装变体
112,lying,pose,stationary_pose,确认,核心含义是身体靠背侧腹侧支撑的躺姿
113,food,food_drink,food_general,修正,Wiki 是可食用营养来源的食物总称而非主食料理
114,sleeveless,clothing_detail,sleeve_detail,修正,Wiki 描述衣物没有袖子的袖型特征
115,virtual_youtuber,people,occupation,确认,核心含义是使用数字头像直播的内容创作者职业
116,sky,outdoor_scene,sky_space,确认,核心对象是作为背景或主题的天空
117,wings,animal_traits,wing_feather,确认,核心对象是角色具有或佩戴的翅膀特征
118,one_eye_closed,face,eye_shape,确认,核心含义是一只眼睛闭合的眼部形态
119,choker,jewelry_accessories,necklace_choker,确认,核心对象是紧贴颈部佩戴的颈饰
120,medium_hair,hair,hair_length,确认,核心含义是大约到肩膀的头发长度
121,kantai_collection,copyright,letter_k,确认,Wiki 明确描述舰队 Collection 游戏作品
122,green_hair,hair,hair_color,确认,核心含义是绿色头发
123,penis,adult_body,penis,确认,核心对象是男性生殖器官
124,artist_name,text_meta,text,确认,核心画面元素是图像上书写的作者姓名文字
125,detached_sleeves,clothing_detail,sleeve_detail,确认,核心含义是与衣身分离的袖型
126,pointy_ears,face,ears,修正,Wiki 只描述耳朵末端尖锐的形状并未定义为兽耳
127,socks,legwear_footwear,socks,确认,核心对象是穿在脚上鞋内的短袜总称
128,tongue,face,oral_detail,确认,核心对象是清晰可见或突出的舌头
129,indoors,indoor_scene,indoor_general,修正,Wiki 泛指房屋或封闭建筑内并不限定公共场所
130,japanese_clothes,traditional_clothes,traditional_japan,确认,Wiki 明确指各种传统日本服饰
131,hand_up,pose,arm_pose,确认,核心含义是单只手臂举至上身以上的姿势
132,official_alternate_costume,themes,persona_variant,确认,核心含义是官方设计的角色替换服装变体
133,puffy_sleeves,clothing_detail,sleeve_detail,确认,核心含义是蓬松膨胀的袖型
134,black_thighhighs,legwear_footwear,stockings,确认,核心对象是黑色过膝长袜
135,pussy,adult_body,vulva,确认,核心对象是女性外阴生殖部位
136,barefoot,body,feet_toes,确认,核心含义是脚部完全裸露
137,glasses,head_accessories,eyewear,确认,核心对象是戴在眼睛前的镜片眼镜
138,belt,accessories,bags_belts,确认,核心对象是围绕腰部用于固定或装饰的腰带
139,solo_focus,composition,subject_focus,确认,核心含义是在多人画面中突出单个主体
140,hairclip,head_accessories,hairclip_pin,确认,核心对象是固定或装饰头发的夹子
141,bowtie,accessories,neckwear,确认,核心对象是系在颈部的蝶形领结
142,day,time_weather,time_day,确认,核心含义是白天的时间状态
143,2boys,people,count_gender,确认,核心含义是两个男性角色
144,fang,face,oral_detail,确认,核心对象是突出的单颗犬齿
145,speech_bubble,text_meta,comic,确认,核心对象是漫画语法中的对话气泡
146,black_skirt,clothes_main,skirt,确认,核心对象是黑色半身裙
147,halo,light_effect,halo_effect,确认,核心对象是头顶上方发光的圆形光环
148,hood,head_accessories,headwrap_veil,确认,核心对象是覆盖头颈并可连接外套的兜帽
149,white_gloves,accessories,handwear,确认,核心对象是白色手套
150,signature,meta_info,meta,确认,核心内容是图像携带的作者声优或角色签名元数据
151,fate_(series),copyright,letter_f,确认,Wiki 明确描述 Fate 多媒体作品系列
152,blunt_bangs,hair,bangs,确认,核心含义是横向剪齐的刘海
153,white_dress,clothes_main,dress,确认,核心对象是白色连衣裙
154,blue_archive,copyright,letter_b,确认,Wiki 明确描述蔚蓝档案游戏及动画作品
155,twitter_username,meta_info,meta,确认,核心内容是创作者账户名这一创作署名元数据
156,elbow_gloves,accessories,handwear,确认,核心对象是长度达到手肘的手套
157,looking_at_another,pose,gaze,确认,核心含义是人物看向另一人物的视线
158,pink_eyes,face,eye_color,确认,核心含义是粉红色眼睛
159,tongue_out,face,oral_detail,确认,核心视觉特征是伸出嘴外的舌头
160,serafuku,uniform_costume,sailor_uniform,确认,Wiki 明确描述日本女学生水手服
161,midriff,body,torso_back,确认,核心对象是衣物间露出的腹部区域
162,cat_ears,animal_traits,animal_ears,确认,核心对象是长有或佩戴的猫形兽耳
163,dark_skin,body_detail,skin,确认,核心含义是较深的皮肤颜色
164,sailor_collar,clothing_detail,collar_detail,确认,核心对象是水手风格衣领
165,cloud,outdoor_scene,sky_space,确认,核心对象是天空中的云团
166,holding_weapon,action,holding,确认,核心含义是手持任意武器的动作
167,stomach,body,torso_back,确认,核心对象是正面腹部区域
168,pokemon,copyright,letter_p,确认,Wiki 明确描述 Pokémon 作品系列
169,hair_flower,head_accessories,themed_hair_ornament,修正,Wiki 是花朵发饰总称并不限定以发夹固定
170,streaked_hair,hair,hair_color,确认,核心含义是主体发色中夹有少量其他颜色
171,sex,adult,adult_sex,确认,Wiki 明确描述阴道或肛门插入性交
172,two-tone_hair,hair,hair_color,确认,核心含义是由两种颜色组成的头发
173,mole,body_detail,mole_freckle,确认,核心对象是皮肤上的小型色素痣
174,english_text,text_meta,text,确认,核心画面元素是英语文字
175,grey_background,background,background_plain,确认,核心含义是纯灰或主要为灰色的背景
176,miniskirt,clothes_main,skirt,确认,核心对象是裙摆远高于膝盖的短裙
177,sword,weapons,blade,确认,核心对象是带剑柄与剑刃的切刺武器
178,looking_back,pose,gaze,确认,核心含义是主体视线转向身后
179,black_jacket,outerwear_suits,jacket_coat,确认,核心对象是黑色夹克
180,fingerless_gloves,accessories,handwear,确认,核心对象是不完全覆盖手指的手套
181,open_jacket,clothing_appearance,open_wear,确认,核心含义是夹克未扣合或未拉上拉链
182,necklace,jewelry_accessories,necklace_choker,确认,核心对象是宽松戴在颈部的链状首饰
183,hair_bun,hair,hair_style,确认,核心含义是将头发盘成圆形的发型
184,coat,outerwear_suits,jacket_coat,确认,核心对象是用于保暖防护的长款厚外衣
185,chibi,style,art_style,确认,核心含义是日式超级变形的美术风格
186,black_dress,clothes_main,dress,确认,核心对象是黑色连衣裙
187,wide_sleeves,clothing_detail,sleeve_detail,确认,核心含义是袖口宽大的袖型
188,striped_clothes,clothing_appearance,clothing_pattern,确认,核心含义是衣物表面的条纹图案
189,hair_over_one_eye,hair,bangs,确认,核心含义是前发遮住一只眼睛
190,on_back,pose,stationary_pose,确认,核心含义是身体背部朝下的仰卧姿势
191,spread_legs,pose,leg_pose,确认,核心含义是双腿分开的姿势
192,star_(symbol),symbols,general_symbol,确认,核心对象是表示星星的图形符号
193,black_shirt,clothes_main,shirt_top,确认,核心对象是黑色衬衫
194,grin,expression,positive,确认,核心含义是露出牙齿的宽大笑容
195,orange_hair,hair,hair_color,确认,核心含义是橙色头发
196,white_thighhighs,legwear_footwear,stockings,确认,核心对象是白色过膝长袜
197,cum,adult,adult_fluid,确认,核心对象是男性射出的精液
198,nail_polish,body_detail,nail_care,修正,Wiki 指手指甲或脚趾甲上的彩色涂层而非面部妆容
199,off_shoulder,clothing_detail,collar_detail,修正,Wiki 描述露出肩部的领口与肩线剪裁
200,kimono,traditional_clothes,traditional_japan,确认,Wiki 明确描述传统日本和服
201,black_eyes,face,eye_color,确认,核心含义是黑色眼睛
202,armpits,body,arms_hands,确认,核心对象是手臂与躯干连接处的腋窝
203,3girls,people,count_gender,确认,核心含义是画面中有三位女性角色
204,from_behind,composition,camera_angle,确认,核心含义是从主体背后观察的镜头角度
205,hololive,copyright,letter_h,确认,Wiki 明确描述 hololive 作品与团体
206,sweatdrop,expression,fear_surprise,确认,核心含义是表达紧张或尴尬的符号化大汗滴
207,from_side,composition,camera_angle,确认,核心含义是从主体侧面观察的镜头角度
208,rabbit_ears,animal_traits,animal_ears,确认,核心对象是长有或佩戴的兔形兽耳
209,fate/grand_order,copyright,letter_f,确认,Wiki 明确描述 Fate/Grand Order 作品
210,huge_breasts,body,breast_chest,确认,核心含义是乳房尺寸
211,blurry,composition,focus,确认,核心含义是画面部分因视觉效果而模糊
212,yuri,relationships,romance_orientation,确认,核心含义是女性角色之间的浪漫或性关系
213,red_bow,accessories,bows_ribbons,确认,Wiki 只限定红色蝴蝶结而未限定佩戴部位
214,bag,accessories,bags_belts,确认,核心对象是用于携带物品的柔性包袋
215,genshin_impact,copyright,letter_g,确认,Wiki 明确描述原神游戏作品
216,vest,clothes_main,vest_top,确认,核心对象是无袖无领并常套穿的背心
217,animal_ear_fluff,animal_traits,animal_ears,确认,核心对象是动物耳朵内部突出的绒毛
218,tears,expression,sad_cry,确认,核心对象是情绪表达时从眼睛产生的泪水
219,armor,protective_clothes,full_armor,确认,Wiki 是由硬质材料制成的铠甲总称
220,leotard,underwear_swim,bodysuit_leotard,确认,核心对象是运动舞蹈用紧身连体衣
221,parted_bangs,hair,bangs,确认,核心含义是明显从中间或侧面分开的刘海
222,cape,outerwear_suits,cape_cloak,确认,核心对象是固定在颈后并披于背部的无袖外衣
223,arm_up,pose,arm_pose,确认,核心含义是单臂举至眼部或更高的姿势
224,apron,clothes_main,apron_cover,确认,核心对象是覆盖身体前部的防护罩衣
225,black_pantyhose,legwear_footwear,stockings,确认,核心对象是黑色连裤袜
226,character_name,text_meta,text,确认,核心画面元素是写出的角色姓名或昵称
227,idolmaster,copyright,letter_i,确认,Wiki 明确描述偶像大师作品系列
228,sweater,clothes_main,sweater_hoodie,确认,核心对象是覆盖躯干与手臂的厚针织上衣
229,water,nature,water_ice,修正,Wiki 定义的是可见的水这种物质并不限定户外水域场景
230,mosaic_censoring,meta_info,censorship,确认,核心含义是用像素化马赛克遮挡图像
231,clothes_lift,action,clothing_action,确认,核心含义是掀起衣物露出身体的动作
232,scarf,accessories,neckwear,确认,核心对象是围在颈部用于保暖的长条织物
233,blue_sky,outdoor_scene,sky_space,确认,核心对象是呈蓝色的天空
234,high_heels,legwear_footwear,heels,确认,核心对象是鞋跟显著高于前掌的鞋
235,vaginal,adult,adult_sex,确认,Wiki 描述物体进入阴道的插入行为
236,crop_top,clothes_main,vest_top,确认,核心对象是为露出腹部而裁短的上衣
237,bra,underwear_swim,bra_lingerie,确认,核心对象是用于支撑乳房的女性内衣
238,completely_nude,adult_body,adult_nudity,确认,核心含义是颈部以下完全未穿衣物
239,grey_eyes,face,eye_color,确认,核心含义是灰色眼睛
240,feet,body,feet_toes,确认,核心对象是被突出或详细描绘的脚
241,collar,accessories,neckwear,确认,Wiki 是独立于衣物佩戴的颈部带状配饰
242,looking_to_the_side,pose,gaze,确认,核心含义是视线转向身体侧方
243,bracelet,jewelry_accessories,bracelet_anklet,确认,核心对象是佩戴在手腕的装饰性珠宝
244,hands_up,pose,arm_pose,确认,核心含义是双手举到上躯干或更高
245,dated,meta_info,meta,确认,核心内容是图像标注的创作日期元数据
246,fingernails,body,arms_hands,确认,核心对象是手部明显可见的指甲
247,red_ribbon,accessories,bows_ribbons,确认,Wiki 只限定红色丝带而未限定佩戴部位
248,arms_up,pose,arm_pose,确认,核心含义是双臂举至眼部或更高
249,cup,food_drink,tableware,确认,核心对象是用于饮用的杯状容器
250,eyelashes,face,eye_shape,确认,核心对象是作为眼部形态组成的显眼睫毛
251,black_shoes,legwear_footwear,casual_shoes,确认,Wiki 是未限定鞋型的黑色鞋履
252,v-shaped_eyebrows,face,eyebrows,确认,核心对象是向内倾斜形成 V 形的眉毛
253,clothing_cutout,clothing_detail,cutout_slit,确认,核心含义是衣物为露出身体而设计的镂空
254,:o,expression,fear_surprise,确认,核心含义是表达惊讶或敬畏的圆形张嘴表情
255,aqua_eyes,face,eye_color,确认,核心含义是蓝绿色眼睛
256,black_choker,jewelry_accessories,necklace_choker,确认,核心对象是黑色贴颈饰品
257,multiple_views,composition,layout,确认,核心含义是同一角色以多个画面或视图呈现
258,blue_skirt,clothes_main,skirt,确认,核心对象是蓝色半身裙或迷你裙
259,puffy_short_sleeves,clothing_detail,sleeve_detail,确认,核心含义是短而蓬松的袖型
260,dark-skinned_female,body_detail,skin,确认,核心含义是女性角色具有较深肤色
261,twin_braids,hair,hair_style,确认,核心含义是由两条辫子组成的发型
262,white_panties,underwear_swim,panties_underwear,确认,核心对象是纯白色内裤
263,neckerchief,accessories,neckwear,确认,核心对象是系于颈部并垂下两片布端的领巾
264,orange_eyes,face,eye_color,确认,核心含义是橙色眼睛
265,two_side_up,hair,hair_style,确认,核心含义是两侧扎起而其余头发垂下的发型
266,upper_teeth_only,face,oral_detail,确认,核心对象是只画出上排牙齿的口腔细节
267,symbol-shaped_pupils,face,eye_shape,确认,核心含义是瞳孔呈符号或物品形状的眼部形态
268,flat_chest,body,breast_chest,确认,核心含义是女性胸部完全平坦
269,black_pants,clothes_main,bottoms,确认,核心对象是未限定款式的黑色裤装
270,mole_under_eye,body_detail,mole_freckle,确认,核心对象是位于眼睛下方的痣
271,thigh_strap,clothing_detail,strap_detail,确认,核心对象是环绕大腿佩戴的服装绑带
272,black_hat,head_accessories,hats_caps,确认,核心对象是黑色帽子
273,side_ponytail,hair,hair_style,确认,核心含义是在头侧而非后方扎起的马尾
274,sleeves_past_wrists,clothing_detail,sleeve_detail,确认,核心含义是长度超过手腕并覆盖部分手部的袖型
275,fur_trim,clothing_detail,trim_detail,修正,Wiki 明确描述领口袖口或下摆边缘的毛皮饰边
276,tree,nature,tree,确认,核心对象是具有主干与枝叶冠层的多年生木本植物
277,border,composition,border,确认,核心对象是图像四周的边框
278,feet_out_of_frame,composition,framing,确认,核心含义是脚位于画面裁切范围之外
279,watermark,meta_info,meta,确认,核心内容是用于署名或防盗的图像叠加标识
280,v,pose,hand_gesture,确认,核心含义是食指与中指张开的 V 形手势
281,strapless,clothing_detail,strap_detail,修正,Wiki 明确描述上衣没有肩带的结构
282,pokemon_(creature),creatures,fantasy_creature,确认,核心对象是宝可梦作品中的幻想生物
283,no_humans,people,count_gender,确认,核心含义是画面中没有人类或类人角色
284,bar_censor,meta_info,censorship,确认,核心对象是用于遮挡图像内容的矩形条
285,fake_animal_ears,head_accessories,headpiece,确认,Wiki 明确是假兽耳并常附着在发带或兜帽
286,toes,body,feet_toes,确认,核心对象是足部的脚趾
287,sleeveless_shirt,clothes_main,shirt_top,确认,核心对象是无袖款式的上衣
288,sleeveless_dress,clothes_main,dress,确认,核心对象是无袖款式的连衣裙
289,hand_on_own_hip,pose,arm_pose,确认,核心含义是将一只手放在自己髋部的姿势
290,sparkle,light_effect,particles,确认,核心对象是短暂明亮且常呈星形的闪光粒子
291,cat_tail,animal_traits,tails,确认,核心对象是角色具有的猫形尾巴
292,white_socks,legwear_footwear,socks,确认,核心对象是白色袜子这一通用袜类
293,gradient_hair,hair,hair_color,确认,核心含义是发色从一种颜色渐变到另一种
294,see-through_clothes,clothing_appearance,clothing_material,确认,核心含义是由透明或湿薄材质造成的透视衣物
295,black_bow,accessories,bows_ribbons,确认,Wiki 只限定黑色蝴蝶结而未限定佩戴部位
296,wrist_cuffs,accessories,handwear,确认,核心对象是佩戴在手腕且形似分离袖口的饰物
297,loli,adult_kink,adult_taboo,修正,Wiki 明确定义为青春期前外观角色的性化作品而非普通年龄描述
298,torn_clothes,clothing_appearance,damaged_dirty,确认,核心含义是衣服处于撕裂破损状态
299,vocaloid,copyright,letter_v,确认,Wiki 明确描述 VOCALOID 引擎及相关作品体系
300,fox_ears,animal_traits,animal_ears,确认,核心对象是角色具有的狐狸形兽耳
301,covered_nipples,adult_body,adult_clothes,修正,Wiki 描述乳头隔着衣物显现而不是身体裸露
302,hair_intakes,hair,hair_style,确认,核心含义是形成两个前开勺状结构的发型
303,maid,uniform_costume,service_uniform,确认,Wiki 的识别核心是穿着西式女仆制服
304,buttons,clothing_detail,fastener,确认,核心对象是用于固定或装饰衣物的纽扣
305,arknights,copyright,letter_a,确认,Wiki 明确描述明日方舟游戏作品
306,neck_ribbon,accessories,neckwear,确认,核心对象是系在颈部代替领带的丝带
307,maid_headdress,head_accessories,headpiece,确认,核心对象是配合女仆制服佩戴的褶边头饰
308,tattoo,body_detail,tattoo_mark,确认,核心对象是永久绘制在皮肤上的图案或符号
309,colored_skin,body_detail,skin,确认,核心含义是非人类自然肤色的皮肤颜色
310,pillow,household_objects,storage_furniture,确认,核心对象是睡眠时支撑头部或身体的寝具
311,horse_ears,animal_traits,animal_ears,确认,核心对象是角色自然生长或佩戴的马形耳朵
312,umamusume,copyright,letter_u,确认,Wiki 明确描述赛马娘 Pretty Derby 作品
313,sash,accessories,bags_belts,确认,核心对象是斜跨身体或环绕腰部的宽饰带
314,sketch,style,technique,确认,核心含义是线条粗略且未完成的初步绘画技法
315,ascot,accessories,neckwear,确认,核心对象是系在颈部并有宽尖末端的领巾
316,wet,body_detail,body_state,确认,核心含义是身体或物体被水或体液浸湿的状态
317,horse_girl,people,fantasy_person,确认,核心对象是具有马耳或马尾特征的人类女孩种族设定
318,muscular,body,build,确认,核心含义是由大量训练形成的庞大肌肉体格
319,short_shorts,clothes_main,bottoms,确认,核心对象是裤腿极短的短裤
320,gun,weapons,firearm,确认,Wiki 明确是以火药推动弹丸的现实枪械
321,covered_navel,body,torso_back,确认,核心对象是透过紧身衣物显出的腹部肚脐轮廓
322,hoodie,clothes_main,sweater_hoodie,确认,核心对象是带兜帽口袋的套头运动衫
323,uncensored,meta_info,censorship,确认,核心含义是图像未经审查遮挡
324,groin,body,waist_hips,确认,核心对象是腹部与大腿交界的腹股沟
325,legs,body,legs_knees,确认,核心对象是作为画面焦点的腿部
326,bare_arms,body,arms_hands,确认,核心含义是上臂至前臂中部没有衣物覆盖
327,book,culture_objects,books_paper,确认,核心对象是装订成册并载有内容的纸张集合
328,black_ribbon,accessories,bows_ribbons,确认,Wiki 只限定黑色丝带而未限定佩戴部位
329,plaid_clothes,clothing_appearance,clothing_pattern,确认,核心含义是服装表面的格子图案
330,gradient_background,background,background_plain,确认,核心对象是没有具象图案的颜色渐变背景
331,pov,composition,viewpoint,确认,核心含义是从观看者位置呈现的第一人称视角
332,floating_hair,hair,hair_action,确认,核心含义是头发受风力或失重影响而飘浮
333,cosplay,meta_info,cosplay,确认,核心含义是真人装扮成虚构角色
334,mask,head_accessories,face_mask,确认,核心对象是用于遮盖面部的覆盖物
335,pubic_hair,adult_body,pubic_hair,确认,核心对象是阴部区域生长的毛发
336,black_shorts,clothes_main,bottoms,确认,核心对象是未限定款式的黑色短裤
337,blurry_background,composition,focus,确认,核心含义是背景处于失焦状态
338,blood,sensitive,blood,确认,核心对象是身体内外可见的血液
339,one-piece_swimsuit,underwear_swim,onepiece_swim,确认,核心对象是作为单件穿着的连体泳衣
340,black_panties,underwear_swim,panties_underwear,确认,核心对象是主要为黑色的内裤
341,detached_collar,clothing_detail,collar_detail,确认,核心对象是独立于衬衫的折叠衣领
342,makeup,face,makeup,确认,Wiki 明确是用于面部的化妆品
343,bare_legs,body,legs_knees,确认,核心含义是腿部没有裤装裙装或长袜覆盖
344,blue_background,background,background_plain,确认,核心对象是纯蓝或主要为蓝色的背景
345,white_jacket,outerwear_suits,jacket_coat,确认,核心对象是白色夹克
346,window,building_parts,door_window,确认,核心对象是建筑上供观察外部的透明窗户
347,profile,composition,camera_angle,确认,核心含义是展示角色一侧脸部的镜头角度
348,lips,face,mouth,确认,核心对象是围绕嘴部开口的嘴唇
349,single_braid,hair,hair_style,确认,核心含义是只有一条辫子的发型
350,head_tilt,pose,head_pose,修正,Wiki 描述头向一侧倾斜的头部姿势而非视线方向
351,blue_dress,clothes_main,dress,确认,核心对象是蓝色连衣裙
352,expressionless,expression,neutral_expression,确认,核心含义是脸部没有可见情绪表情
353,copyright_name,text_meta,text,确认,核心画面元素是写出的作品版权标题
354,bodysuit,underwear_swim,bodysuit_leotard,确认,核心对象是从颈部至少覆盖到大腿上部的紧身连体服
355,black_boots,legwear_footwear,short_boots,确认,核心对象是黑色靴子
356,double_bun,hair,hair_style,确认,核心含义是头发扎成两个圆形发髻
357,petals,nature,flower_general,修正,Wiki 定义的是从花朵脱落的实体花瓣而非光效粒子
